#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-06-23T10:41:05 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ558937a53bf5	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/577/A128&tab:{J/A+A/577/A128/tablea2}&key:source=J/A+A/577/A128/tablea2&HTTPPRM:&
#-source=J/A+A/577/A128/tablea2
#-order=I
#-out=Karmn
#-out=PC1
#-out=TiO2
#-out=TiO5
#-out=VO-7912
#-out=Color-M
#-out=CaH2
#-out=CaH3
#-out=zeta
#-out=pEW(Ha)
#-out=e_pEW(Ha)
#-out=E_pEW(Ha)
#

#RESOURCE=yCat_35770128
#Name: J/A+A/577/A128
#Title: CARMENES input catalogue of M dwarfs. I (Alonso-Floriano+, 2015)
#Table	J_A_A_577_A128_tablea2:
#Name: J/A+A/577/A128/tablea2
#Title: Spectral indices, zeta index and pEW(Halpha)
#Column	Karmn	(a13)	Our CARMENES star identification \linkRole{basic star data }	[ucd=meta.id;meta.main]
#Column	PC1	(F6.3)	PC1 spectral index (Martin et al. 1996ApJ...469..706M)	[ucd=spect.index]
#Column	TiO2	(F6.3)	TiO2 spectral index (Reid et al. 1995AJ....110.1838R, Cat. III/198)	[ucd=spect.index]
#Column	TiO5	(F6.3)	TiO5 spectral index (Reid et al. 1995AJ....110.1838R, Cat. III/198)	[ucd=spect.index]
#Column	VO-7912	(F6.3)	VO-7912 spectral index (Martin et al. 1999AJ....118.2466M)	[ucd=spect.index]
#Column	Color-M	(F6.3)	Color-M spectral index (Lepine et al. 2003, Cat. J/AJ/125/1598)	[ucd=spect.index]
#Column	CaH2	(F6.3)	CaH2 spectral index (Reid et al. 1995AJ....110.1838R, Cat. III/198)	[ucd=spect.index]
#Column	CaH3	(F6.3)	CaH3 spectral index (Reid et al. 1995AJ....110.1838R, Cat. III/198)	[ucd=spect.index]
#Column	zeta	(F6.3)	zeta metallicity spectral index (Lepine et al. 2007ApJ...669.1235L)	[ucd=spect.index]
#Column	pEW(Ha)	(F5.1)	Pseudo-equivalent width of Halpha line	[ucd=spect.line.eqWidth]
#Column	e_pEW(Ha)	(F4.1)	Error in pEW(Ha) (lower value)	[ucd=stat.error]
#Column	E_pEW(Ha)	(F4.1)	Error in pEW(Ha) (upper value)	[ucd=stat.error;stat.max]
Karmn|PC1|TiO2|TiO5|VO-7912|Color-M|CaH2|CaH3|zeta|pEW(Ha)|e_pEW(Ha)|E_pEW(Ha)
J00358+526   | 1.080| 0.706| 0.510| 1.035| 1.059| 0.565| 0.777| 1.004|  0.0| 0.4| 0.4
J00367+444   | 0.993| 0.751| 0.546| 1.013| 0.758| 0.854| 0.963| 2.888|  0.8| 0.1| 0.1
J00380+169   | 1.124| 0.672| 0.471| 1.057| 1.189| 0.509| 0.742| 0.945|  0.0| 0.2| 0.2
J00389+306   | 1.090| 0.715| 0.526| 1.035| 1.079| 0.570| 0.790| 1.001|  0.0| 0.2| 0.2
J00395+149S  | 1.237| 0.590| 0.399| 1.100| 1.487| 0.467| 0.722| 0.989| -1.7| 0.2| 0.2
J00395+149N  | 1.321| 0.503| 0.344| 1.153| 1.749| 0.416| 0.672| 0.963| -7.2| 0.3| 0.2
J00452+002AB | 1.227| 0.584| 0.392| 1.104| 1.437| 0.424| 0.713| 0.942| -3.1| 0.3| 0.2
J00464+506   | 1.256| 0.559| 0.371| 1.116| 1.554| 0.478| 0.753| 1.092| -0.5| 0.2| 0.1
J00467-044   | 1.274| 0.546| 0.359| 1.112| 1.593| 0.450| 0.711| 1.022| -0.8| 0.3| 0.2
J00484+753   | 1.121| 0.665| 0.475| 1.058| 1.138| 0.534| 0.762| 1.000| -1.1| 0.2| 0.3
J00490+657   | 1.108| 0.707| 0.517| 1.043| 1.118| 0.564| 0.784| 0.998|  0.0| 0.2| 0.2
J00490+578   | 0.904| 0.920| 0.843| 0.972| 0.683| 0.897| 0.927| 1.017|  0.3| 0.1| 0.1
J00502+601   | 1.154| 0.747| 0.559| 1.034| 1.068| 0.793| 0.915| 2.017|  0.8| 0.2| 0.1
J00502+086   | 1.294| 0.501| 0.343| 1.145| 1.609| 0.437| 0.701| 1.019| -6.7| 0.3| 0.2
J00540+691   | 1.066| 0.740| 0.542| 1.033| 1.096| 0.548| 0.759| 0.887|  0.0| 0.2| 0.2
J00548+275   | 1.294| 0.521| 0.353| 1.145| 1.682| 0.429| 0.691| 0.983| -5.3| 0.2| 5.3
J00580+393   | 1.285| 0.531| 0.352| 1.141| 1.688| 0.417| 0.667| 0.947| -3.7| 0.2| 0.3
J01009-044   | 1.212| 0.605| 0.378| 1.090| 1.492| 0.429| 0.677| 0.931|  0.0| 0.2| 0.2
J01012+571   | 1.123| 0.842| 0.703| 1.019| 1.087| 0.893| 0.947| 2.021|  1.1| 0.2| 0.2
J01014-010   | 1.215| 0.613| 0.415| 1.102| 1.386| 0.485| 0.731| 0.997|  0.0| 0.2| 0.2
J01014+188   | 1.067| 0.710| 0.513| 1.033| 1.018| 0.580| 0.794| 1.052|  0.0| 0.2| 0.2
J01026+623   | 1.043| 0.778| 0.615| 1.017| 0.960| 0.643| 0.820| 0.979|  0.0| 0.2| 0.2
J01028+189   | 1.244| 0.529| 0.349| 1.124| 1.352| 0.450| 0.712| 1.038| -9.7| 0.3| 0.3
J01028+470   | 0.999| 0.760| 0.578| 1.013| 0.855| 0.621| 0.806| 1.001|  0.0| 0.2| 0.2
J01032+712   | 1.323| 0.589| 0.395| 1.108| 1.785| 0.453| 0.719| 0.975| -0.6| 0.4| 0.2
V* V388 Cas (Gl51) | J01033+623   | 1.394| 0.438| 0.302| 1.176| 1.959| 0.385| 0.644| 0.968|-10.1| 0.1| 0.4
J01055+153   | 0.865| 0.918| 0.836| 0.965| 0.579| 0.916| 0.935| 1.160|  0.4| 0.1| 0.1
J01069+804   | 1.321| 0.490| 0.332| 1.150| 1.770| 0.408| 0.668| 0.970| -7.2| 0.2| 0.3
J01074-025   | 0.860| 0.937| 0.876| 0.981| 0.603| 1.027| 0.979| 1.386|  0.7| 0.2| 0.4
J01076+229E  | 1.189| 0.569| 0.393| 1.097| 1.355| 0.508| 0.743| 1.084|  2.2| 0.4| 0.8
J01097+356   | 0.943| 0.826| 0.652| 0.992| 0.662| 0.937| 0.965| 2.902|  0.9| 0.3| 0.2
J01186-008   | 0.903| 0.917| 0.810| 0.970| 0.674| 0.869| 0.917| 1.093|  0.5| 0.2| 0.1
J01214+313   | 1.160| 0.606| 0.421| 1.078| 1.277| 0.510| 0.742| 1.035|  0.0| 0.2| 0.2
J01226+127   | 0.886| 0.896| 0.795| 0.973| 0.635| 0.863| 0.918| 1.162|  0.4| 0.1| 0.1
J01342-015   | 0.989| 0.797| 0.628| 0.998| 0.849| 0.679| 0.849| 1.086|  0.0| 0.2| 0.2
J01356-200AB | 1.082| 0.706| 0.520| 1.039| 1.049| 0.582| 0.796| 1.045|  0.0| 0.2| 0.2
J01390-179AB | 1.336| 0.429| 0.313| 1.198| 2.326| 0.410| 0.638| 0.970| -4.8| 0.2| 0.4
J01406-081   | 0.882| 0.940| 0.892| 0.972| 0.641| 0.996| 0.966| 1.082|  0.7| 0.2| 0.2
J01431+210   | 1.240| 0.509| 0.351| 1.130| 1.425| 0.465| 0.723| 1.066| -4.9| 0.2| 0.2
J01541-156   | 1.236| 0.572| 0.356| 1.127| 1.612| 0.449| 0.688| 0.997| -1.3| 0.3| 0.2
J01551-162   | 0.896| 0.923| 0.865| 0.979| 0.668| 0.955| 0.948| 1.128|  0.5| 0.2| 0.2
J01562+001   | 1.120| 0.616| 0.460| 1.063| 1.107| 0.500| 0.713| 0.917| -5.2| 0.2| 0.3
J01567+305   | 1.295| 0.457| 0.333| 1.159| 1.878| 0.397| 0.630| 0.925|-16.0| 0.4| 0.4
J01571-102   | 0.944| 0.869| 0.758| 0.981| 0.745| 0.809| 0.889| 1.073|  0.4| 0.1| 0.1
J02000+135AB | 1.169| 0.618| 0.417| 1.076| 1.244| 0.505| 0.749| 1.046|  0.0| 0.2| 0.2
J02002+130   | 1.154| 0.658| 0.486| 1.122| 1.498| 0.557| 0.800| 1.080| -2.0| 0.3| 0.2
J02019+342   | 0.964| 0.861| 0.738| 0.990| 0.821| 0.774| 0.882| 1.037|  0.4| 0.2| 0.2
J02022+103   | 1.491| 0.387| 0.213| 1.216| 2.583| 0.319| 0.619| 1.015| -1.6| 0.3| 0.5
J02023+012   | 1.082| 0.751| 0.565| 1.027| 1.092| 0.574| 0.783| 0.912|  0.0| 0.2| 0.2
J02100-088   | 1.145| 0.588| 0.395| 1.073| 1.107| 0.501| 0.763| 1.101| -0.4| 0.1| 0.1
J02133+368AB | 1.279| 0.476| 0.330| 1.149| 1.735| 0.381| 0.617| 0.906| -6.2| 0.2| 0.4
J02142-039   | 1.558| 0.350| 0.236| 1.240| 2.800| 0.335| 0.625| 1.002|-12.3| 0.7| 0.9
J02159-094ABC| 1.090| 0.668| 0.504| 1.061| 1.013| 0.564| 0.754| 0.979| -6.0| 0.4| 0.4
J02274+031   | 1.205| 0.556| 0.384| 1.111| 1.432| 0.440| 0.676| 0.933| -4.2| 0.3| 0.4
J02285-200   | 1.070| 0.719| 0.512| 1.043| 1.068| 0.537| 0.752| 0.921|  0.0| 0.2| 0.2
J02291+228   | 0.899| 0.935| 0.865| 0.976| 0.680| 0.968| 0.962| 1.229|  0.6| 0.2| 0.2
J02362+068   | 1.202| 0.602| 0.385| 1.108| 1.506| 0.464| 0.739| 1.030| -0.5| 0.2| 0.2
J02367+226   | 1.406| 0.428| 0.280| 1.178| 2.158| 0.361| 0.627| 0.964| -5.5| 0.4| 0.5
J02412-045   | 1.272| 0.507| 0.352| 1.136| 1.682| 0.405| 0.651| 0.921| -3.8| 0.4| 0.3
J02441+492   | 1.017| 0.782| 0.607| 1.011| 0.932| 0.634| 0.821| 0.983|  0.0| 0.2| 0.2
J02456+449   | 0.968| 0.873| 0.716| 0.991| 0.838| 0.745| 0.881| 1.040|  0.4| 0.2| 0.1
J02479-124   | 1.382| 0.747| 0.459| 1.227| 2.418| 0.779| 1.455| 5.825|  0.0| 0.2| 0.2
J02502+628   | 1.125| 0.680| 0.489| 1.048| 1.187| 0.532| 0.759| 0.967|  0.0| 0.2| 0.2
J02530+168   | 1.823| 0.256| 0.134| 1.292| 4.540| 0.224| 0.533| 1.012| -2.4| 0.8| 0.6
J02555+268   | 1.273| 0.567| 0.369| 1.112| 1.621| 0.465| 0.728| 1.044| -0.5| 0.2| 0.2
V* rho02 Ari (HD 18191) | J02558+183   | 1.573| 1.008| 0.415| 1.222| 2.599| 0.453| 0.855| 1.134|  0.0| 0.2| 0.2
J02562+239   | 1.357| 0.478| 0.328| 1.156| 1.896| 0.402| 0.679| 0.980| -6.6| 0.2| 0.4
J03026-181   | 1.098| 0.711| 0.520| 1.040| 1.068| 0.566| 0.785| 0.996|  0.0| 0.2| 0.2
J03033-080   | 1.138| 0.634| 0.444| 1.072| 1.187| 0.536| 0.776| 1.085| -1.9| 0.2| 0.2
J03047+617   | 1.139| 0.660| 0.455| 1.062| 1.203| 0.530| 0.783| 1.067| -0.4| 0.1| 0.1
J03110-046   | 1.133| 0.676| 0.480| 1.059| 1.171| 0.534| 0.765| 0.997| -0.4| 0.1| 0.1
J03147+114   | 1.038| 0.716| 0.565| 1.041| 0.989| 0.614| 0.800| 1.010| -3.3| 0.4| 0.5
J03154+578   | 1.141| 0.608| 0.437| 1.065| 1.265| 0.473| 0.710| 0.920|  0.0| 0.2| 0.2
J03162+581S  | 1.069| 0.761| 0.588| 1.024| 1.028| 0.611| 0.800| 0.951|  0.0| 0.2| 0.2
J03162+581N  | 1.059| 0.752| 0.560| 1.021| 0.993| 0.595| 0.794| 0.975|  0.0| 0.2| 0.2
J03167+389   | 1.191| 0.612| 0.413| 1.089| 1.395| 0.494| 0.750| 1.038|  0.0| 0.2| 0.2
J03174-011   | 0.954| 0.820| 0.682| 0.990| 0.760| 0.710| 0.855| 1.007|  0.0| 0.2| 0.2
J03179-010   | 1.039| 0.733| 0.531| 1.019| 0.939| 0.546| 0.763| 0.912|  0.0| 0.2| 0.2
J03181+426   | 1.224| 0.605| 0.401| 1.092| 1.442| 0.494| 0.757| 1.069|  0.0| 0.2| 0.2
J03194+619   | 1.262| 0.523| 0.363| 1.132| 1.537| 0.428| 0.666| 0.941| -7.0| 0.3| 0.4
J03236+476   | 0.971| 0.858| 0.738| 0.996| 0.839| 0.775| 0.882| 1.041|  0.4| 0.2| 0.2
J03236+056   | 1.354| 0.488| 0.320| 1.164| 1.755| 0.417| 0.693| 1.022| -7.9| 0.3| 0.2
J03263+171   | 1.227| 0.603| 0.390| 1.101| 1.503| 0.491| 0.760| 1.091| -0.8| 0.2| 0.2
J03275+222   | 1.309| 0.533| 0.344| 1.140| 1.670| 0.433| 0.707| 1.019| -5.4| 0.3| 0.4
J03294+117   | 1.064| 0.684| 0.474| 1.055| 0.981| 0.561| 0.777| 1.071|  0.0| 0.4| 0.4
J03303+346   | 1.260| 0.542| 0.383| 1.123| 1.451| 0.459| 0.708| 0.989| -8.2| 0.3| 0.3
J03309+706   | 1.157| 0.625| 0.429| 1.074| 1.345| 0.477| 0.714| 0.942|  0.0| 0.3| 0.3
J03319+492   | 0.907| 0.979| 0.939| 0.997| 0.707| 1.073| 1.010| 0.772|  1.2| 0.2| 0.1
J03320+436   | 0.906| 0.913| 0.832| 0.972| 0.699| 0.902| 0.932| 1.125|  0.4| 0.2| 0.2
J03325+287ABC| 1.292| 0.523| 0.345| 1.136| 1.564| 0.436| 0.705| 1.019| -7.0| 0.2| 0.4
J03332+462   | 0.919| 0.866| 0.789| 0.995| 0.705| 0.875| 0.903| 1.182| -3.4| 0.3| 0.5
J03354+428   | 0.966| 0.870| 0.744| 0.992| 0.816| 0.762| 0.882| 0.981|  0.0| 0.4| 0.4
J03356-084   | 1.443| 0.424| 0.238| 1.182| 2.405| 0.339| 0.628| 1.003|  0.0| 0.3| 0.3
J03361+313   | 1.320| 0.476| 0.325| 1.152| 1.832| 0.396| 0.652| 0.953| -7.4| 0.3| 0.6
J03375+288   | 0.944| 0.869| 0.756| 0.981| 0.769| 0.820| 0.914| 1.200|  0.0| 0.4| 0.4
J03375+178NAB| 1.085| 0.728| 0.542| 1.045| 1.099| 0.573| 0.784| 0.962| -1.4| 0.2| 0.4
J03375+178SAB| 1.145| 0.667| 0.459| 1.109| 1.309| 0.517| 0.777| 1.029| -6.8| 0.5| 0.6
J03392+565AB | 1.141| 0.673| 0.479| 1.058| 1.185| 0.556| 0.795| 1.084| -0.4| 0.1| 0.1
J03430+459   | 1.209| 0.566| 0.373| 1.099| 1.485| 0.443| 0.694| 0.971| -0.7| 0.3| 0.2
J03466+243AB | 0.882| 0.949| 0.890| 0.975| 0.627| 1.014| 0.973| 1.172|  0.0| 0.5| 0.5
J03473-019   | 1.129| 0.658| 0.498| 1.047| 1.124| 0.532| 0.747| 0.933| -3.7| 0.2| 0.4
J03480+405   | 1.026| 0.774| 0.615| 1.026| 0.933| 0.669| 0.819| 1.030| -2.6| 0.4| 0.5
J03510+142   | 1.306| 0.500| 0.360| 1.142| 1.530| 0.439| 0.692| 0.984|-13.4| 0.6| 0.6
J03519+397   | 0.936| 0.898| 0.800| 0.977| 0.727| 0.831| 0.900| 0.975|  0.0| 0.4| 0.4
J03548+163AB | 1.242| 0.539| 0.376| 1.120| 1.516| 0.442| 0.684| 0.954| -8.6| 0.4| 0.7
J03556+522   | 1.075| 0.717| 0.514| 1.033| 1.059| 0.536| 0.751| 0.913|  0.0| 0.2| 0.2
J03565+319   | 1.202| 0.579| 0.405| 1.098| 1.409| 0.473| 0.719| 0.983| -4.7| 0.3| 0.6
J03566+507   | 0.879| 0.948| 0.893| 0.971| 0.648| 0.985| 0.961| 1.025|  0.4| 0.2| 0.2
J03574-011AB | 1.082| 0.722| 0.543| 1.037| 1.053| 0.566| 0.761| 0.915| -2.2| 0.2| 0.2
J03588+125   | 1.298| 0.557| 0.362| 1.130| 1.734| 0.472| 0.754| 1.101| -0.5| 0.3| 0.2
J04041+307   | 1.027| 0.769| 0.585| 1.019| 0.998| 0.581| 0.783| 0.880|  0.0| 0.4| 0.4
J04061-055   | 1.199| 0.619| 0.407| 1.081| 1.442| 0.465| 0.715| 0.966| -0.4| 0.1| 0.1
J04079+142   | 1.132| 0.668| 0.470| 1.062| 1.213| 0.541| 0.781| 1.052|  0.0| 0.3| 0.3
J04081+743   | 1.181| 0.640| 0.436| 1.076| 1.389| 0.477| 0.719| 0.937| -0.4| 0.2| 0.2
J04083+691   | 1.279| 0.528| 0.330| 1.140| 1.804| 0.397| 0.667| 0.960| -0.8| 0.2| 0.3
J04123+162AB | 1.211| 0.584| 0.402| 1.099| 1.434| 0.472| 0.724| 0.993| -2.5| 0.3| 0.3
J04153-076   | 1.297| 0.475| 0.315| 1.133| 1.653| 0.402| 0.666| 0.986| -5.0| 0.5| 0.6
J04177+410   | 1.165| 0.614| 0.458| 1.074| 1.212| 0.489| 0.708| 0.900| -6.4| 0.3| 0.4
J04177+136AB | 1.051| 0.795| 0.647| 1.009| 0.997| 0.666| 0.829| 0.958|  0.0| 0.2| 0.2
J04191-074   | 1.228| 0.566| 0.364| 1.112| 1.428| 0.489| 0.748| 1.115| -0.4| 0.1| 0.1
J04191+097   | 1.150| 0.657| 0.440| 1.065| 1.315| 0.494| 0.734| 0.970| -0.3| 0.2| 0.1
J04205+815   | 1.120| 0.725| 0.537| 1.043| 1.194| 0.551| 0.768| 0.913|  0.0| 0.3| 0.3
J04206+272   | 1.366| 0.524| 0.334| 1.152| 1.632| 0.463| 0.776| 1.170| -8.9| 0.3| 0.6
V* DG Eri (HD 27598) | J04206-168   | 1.325| 1.042| 0.546| 1.071| 1.416| 0.571| 0.893| 1.160|  0.0| 0.5| 0.5
J04207+152AB | 1.231| 0.563| 0.387| 1.105| 1.512| 0.468| 0.729| 1.020| -1.5| 0.3| 0.2
J04224+036   | 1.160| 0.560| 0.404| 1.096| 1.171| 0.479| 0.706| 0.976| -6.7| 0.4| 0.5
J04227+205   | 1.269| 0.547| 0.378| 1.125| 1.538| 0.455| 0.703| 0.986| -5.4| 0.4| 0.3
J04229+259   | 1.282| 0.564| 0.361| 1.129| 1.680| 0.452| 0.717| 1.027| -0.6| 0.2| 0.3
J04234+809   | 1.227| 0.580| 0.409| 1.097| 1.399| 0.460| 0.687| 0.925| -8.2| 0.5| 0.8
J04238+149AB | 1.160| 0.616| 0.453| 1.078| 1.252| 0.511| 0.729| 0.963| -9.1| 0.3| 0.4
J04238+092AB | 1.166| 0.668| 0.497| 1.053| 1.238| 0.527| 0.749| 0.931| -3.7| 0.2| 0.3
J04247-067ABC| 1.237| 0.553| 0.364| 1.090| 1.314| 0.450| 0.689| 0.986| -5.0| 0.4| 0.6
J04252+172ABC| 1.186| 0.581| 0.416| 1.102| 1.260| 0.486| 0.712| 0.973| -7.0| 0.4| 0.4
J04290+186   | 1.096| 0.693| 0.526| 1.056| 1.061| 0.570| 0.765| 0.960|-11.9| 0.3| 0.5
J04308-088   | 1.267| 0.564| 0.363| 1.109| 1.581| 0.437| 0.686| 0.972| -1.5| 0.4| 0.5
J04310+367   | 1.134| 0.639| 0.460| 1.067| 1.240| 0.501| 0.728| 0.936| -3.2| 0.2| 0.4
J04313+241AB | 1.418| 0.491| 0.315| 1.166| 1.884| 0.433| 0.750| 1.118| -9.4| 0.5| 0.6
J04329+001S  | 0.957| 0.825| 0.669| 0.992| 0.757| 0.711| 0.845| 1.024|  0.0| 0.3| 0.3
J04347-004   | 1.213| 0.588| 0.391| 1.105| 1.517| 0.443| 0.691| 0.940| -2.0| 0.4| 0.2
J04360+188   | 1.107| 0.645| 0.488| 1.060| 1.113| 0.541| 0.750| 0.968| -5.8| 0.4| 0.4
J04366+186   | 1.077| 0.722| 0.540| 1.033| 1.049| 0.582| 0.790| 0.989| -1.0| 0.3| 0.2
J04373+193   | 1.269| 0.501| 0.350| 1.131| 1.594| 0.428| 0.670| 0.964| -8.3| 0.2| 0.6
J04386-115   | 1.193| 0.643| 0.432| 1.070| 1.282| 0.504| 0.769| 1.046|  0.0| 0.3| 0.3
J04388+217   | 1.175| 0.624| 0.422| 1.087| 1.349| 0.499| 0.748| 1.026| -0.6| 0.2| 0.1
J04393+335   | 1.266| 0.540| 0.384| 1.135| 1.447| 0.470| 0.718| 1.014|-11.2| 0.4| 0.5
J04398+251   | 1.168| 0.625| 0.422| 1.081| 1.317| 0.480| 0.726| 0.972|  0.0| 0.4| 0.4
J04413+327   | 1.252| 0.599| 0.403| 1.103| 1.571| 0.490| 0.758| 1.062| -0.4| 0.1| 0.2
J04425+204AB | 1.140| 0.621| 0.443| 1.074| 1.182| 0.514| 0.731| 0.987| -4.8| 0.3| 0.3
J04430+187AB | 0.875| 0.934| 0.868| 0.985| 0.631| 1.005| 0.967| 1.351|  0.7| 0.2| 0.2
J04458-144   | 1.268| 0.582| 0.384| 1.108| 1.487| 0.488| 0.753| 1.085| -0.5| 0.2| 0.2
J04468-112AB | 1.147| 0.608| 0.431| 1.076| 1.142| 0.483| 0.712| 0.943| -5.1| 0.2| 0.4
J04472+206   | 1.349| 0.440| 0.302| 1.181| 1.773| 0.394| 0.654| 0.985|-14.4| 0.5| 1.0
J04494+484AB | 1.252| 0.538| 0.378| 1.107| 1.500| 0.440| 0.680| 0.944| -5.5| 0.5| 0.5
J04496-153   | 0.867| 0.957| 0.914| 0.966| 0.614| 1.019| 0.979| 0.945|  0.5| 0.2| 0.1
J04499+711   | 1.223| 0.612| 0.420| 1.084| 1.475| 0.486| 0.745| 1.009| -0.3| 0.2| 0.1
J04536+623   | 1.195| 0.619| 0.408| 1.089| 1.445| 0.474| 0.731| 0.994|  0.0| 0.2| 0.2
J04538+158   | 1.113| 0.691| 0.490| 1.044| 1.159| 0.535| 0.768| 0.981| -0.4| 0.1| 0.1
J04544+650   | 1.246| 0.558| 0.375| 1.119| 1.513| 0.434| 0.681| 0.943|-13.9| 0.5| 0.8
