#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-06-23T10:41:38 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ558937d63ccc	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/577/A128&tab:{J/A+A/577/A128/tablea3}&key:source=J/A+A/577/A128/tablea3&HTTPPRM:&
#-source=J/A+A/577/A128/tablea3
#-order=I
#-out=Karmn
#-out=SpTl
#-out=r_SpTl
#-out=l_SpTb
#-out=SpTb
#-out=l_SpTc
#-out=SpTc
#-out=SpT2
#-out=SpT5
#-out=SpTP
#-out=SpTR
#-out=SpTC
#-out=l_SpT
#-out=SpT
#

#RESOURCE=yCat_35770128
#Name: J/A+A/577/A128
#Title: CARMENES input catalogue of M dwarfs. I (Alonso-Floriano+, 2015)
#Table	J_A_A_577_A128_tablea3:
#Name: J/A+A/577/A128/tablea3
#Title: Spectral type from literature and our work
#Column	Karmn	(a13)	Our CARMENES star identification \linkRole{basic star data }	[ucd=meta.id;meta.main]
#Column	SpTl	(a15)	Spectral type from bibliography	[ucd=src.spType]
#Column	r_SpTl	(a16)	Reference for SpT from bibliography, in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	l_SpTb	(A2)	[<= ] Limit flag on SpTb	[ucd=meta.code.error]
#Column	SpTb	(F4.1)	? Spectral type from best-fit match	[ucd=src.spType]
#Column	l_SpTc	(A2)	[<=> ] Limit flag on SpTc	[ucd=meta.code.error]
#Column	SpTc	(F4.1)	? Spectral type from chi2 match	[ucd=src.spType]
#Column	SpT2	(F4.1)	? Spectral type from TiO2 index	[ucd=src.spType]
#Column	SpT5	(F4.1)	? Spectral type from TiO5 index	[ucd=src.spType]
#Column	SpTP	(F4.1)	? Spectral type from PC1 index	[ucd=src.spType]
#Column	SpTR	(F4.1)	? Spectral type from VO-7912 index	[ucd=src.spType]
#Column	SpTC	(F4.1)	? Spectral type from Color-M index	[ucd=src.spType]
#Column	l_SpT	(A1)	Limit flag on SpT	[ucd=meta.code.error]
#Column	SpT	(a7)	Adopted spectral type	[ucd=src.spType]
Karmn|SpTl|r_SpTl|l_SpTb|SpTb|l_SpTc|SpTc|SpT2|SpT5|SpTP|SpTR|SpTC|l_SpT|SpT
J00313+001   |m:             |Simbad          |  | 3.0|  | 3.0| 3.0| 3.0| 3.0| 3.0| 3.0| |M3.0V
J00322+544   |k:             |Simbad          |  | 4.5|  | 4.5| 4.0| 4.0| 4.5| 4.5| 4.5| |M4.5V
J00328-045AB |M3.5V          |Reid07          |  | 4.5|  | 4.5| 4.0| 4.0| 4.5| 4.5| 4.5| |M4.5V
J00358+526   |M3.5V          |Giz97           |  | 2.5|  | 2.0| 2.5| 2.5| 2.5| 2.0| 2.5| |M2.5V
J00367+444   |K5III          |,Gar89, Kir91   |  |    |  |    |    |    |    |    |    | |KIII
J00380+169   |               |                |  | 3.0|  | 2.5| 3.0| 3.0| 3.0| 3.0| 3.0| |M3.0V
J00389+306   |M2.5V          |PMSU            |  | 2.5|  | 2.0| 2.5| 2.5| 2.5| 2.5| 2.5| |M2.5V
J00395+149S  |               |                |  | 4.0|  | 4.0| 4.0| 3.5| 4.0| 4.0| 4.0| |M4.0V
J00395+149N  |               |                |  | 4.5|  | 4.5| 4.5| 4.5| 4.5| 5.0| 4.5| |M4.5V
J00452+002AB |M3.8V          |Mann13          |  | 3.5|  | 3.5| 4.0| 4.0| 4.0| 4.0| 3.5| |M4.0V
J00464+506   |M3.5V          |Reid04          |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.5| 4.0| |M4.0V
J00467-044   |m:             |Simbad          |  | 4.0|  | 4.0| 4.0| 4.0| 4.5| 4.0| 4.0| |M4.0V
J00484+753   |               |                |  | 3.0|  | 2.5| 3.0| 3.0| 3.0| 3.0| 2.5| |M3.0V
J00490+657   |               |                |  | 2.5|  | 2.5| 2.5| 2.5| 2.5| 2.5| 2.5| |M2.5V
J00490+578   |K7V            |Hen94           |  |-1.0|  |-1.0|-1.0|-1.0|-0.5|-0.5|-0.5| |K7V
J00502+601   |K7III          |,Jac84, Kir91   |  |    |  |    |    |    |    |    |    | |KIII
J00502+086   |               |                |  | 4.5|  | 4.5| 4.5| 4.5| 4.5| 4.5| 4.0| |M4.5V
J00540+691   |M2V:           |Bid85           |  | 2.5|  | 2.5| 2.0| 2.0| 2.0| 2.0| 2.5| |M2.0V
J00548+275   |M4.6V          |Shk09           |  | 4.5|  | 4.5| 4.5| 4.0| 4.5| 4.5| 4.5| |M4.5V
J00580+393   |M4.5V          |Abe14           |  | 4.5|  | 4.5| 4.5| 4.0| 4.5| 4.5| 4.5| |M4.5V
J01009-044   |M3.5V          |PMSU            |  | 4.0|  | 4.0| 3.5| 4.0| 4.0| 4.0| 4.0| |M4.0V
J01012+571   |               |                |  |    |  |    |    |    |    |    |    | |MIII
J01014-010   |               |                |  | 3.5|  | 3.5| 3.5| 3.5| 4.0| 4.0| 3.5| |M3.5V
J01014+188   |               |                |  | 2.0|  | 2.0| 2.5| 2.5| 2.0| 2.0| 2.0| |M2.0V
J01026+623   |M1.5V          |PMSU            |  | 1.5|  | 1.5| 1.5| 1.5| 2.0| 1.5| 1.5| |M1.5V
J01028+189   |M4V            |Riaz06          |  | 4.0|  | 4.0| 4.5| 4.0| 4.0| 4.5| 3.5| |M4.0V
J01028+470   |m5:            |LG11            |  | 1.5|  | 1.0| 2.0| 2.0| 1.0| 1.5| 1.0| |M1.5V
J01032+712   |M3.5V          |Giz97           |  | 4.0|  | 4.5| 4.0| 3.5| 4.5| 4.0| 4.5| |M4.0V
J01033+623   |M5.0V          |PMSU            |  | 5.0|  | 5.0| 5.0| 5.0| 5.0| 5.0| 4.5| |M5.0V
J01055+153   |K7.4V          |Mann13          |  |-1.0|  |-1.0|-1.0|-1.0|-1.5|-1.0|-2.0| |K7V
J01069+804   |               |                |  | 4.5|  | 5.0| 4.5| 4.5| 4.5| 5.0| 4.5| |M4.5V
J01074-025   |               |                |<=|-2.0|<=|-2.0|    |    |    |    |    | |K5V
J01076+229E  |M3.0V          |PMSU            |  | 3.5|  | 3.0| 4.0| 3.5| 3.5| 4.0| 3.5| |M3.5V
J01097+356   |M0III          |Gar89           |  |    |  |    |    |    |    |    |    | |MIII
J01186-008   |K7V            |PMSU            |  |-1.0|  |-1.0|-0.5|-0.5|-0.5|-0.5|-1.0| |K7V
J01214+313   |M1V:           |Bid85           |  | 3.5|  | 3.0| 3.5| 3.5| 3.5| 3.5| 3.0| |M3.5V
J01226+127   |K7.8V          |Mann13          |  |-1.0|  |-1.0|-0.5|-0.5|-1.0|-0.5|-1.5| |K7V
J01342-015   |m:             |Simbad          |  | 1.0|  | 1.0| 1.5| 1.5| 1.0| 1.0| 1.0| |M1.0V
J01356-200AB |m:             |Simbad          |  | 2.5|  | 2.0| 2.5| 2.5| 2.5| 2.5| 2.0| |M2.5V
J01390-179AB |M5.5V+M6.0     |Kir91           |  | 5.0|  | 5.0| 5.0| 4.5| 4.5| 5.5| 5.0| |M5.0V
J01406-081   |               |                |<=|-2.0|<=|-2.0|    |    |    |    |    | |K5V
J01431+210   |M4.0V          |Fri13           |  | 3.5|  | 4.0| 4.5| 4.0| 4.0| 4.5| 3.5| |M4.0V
J01541-156   |M4.0V          |Reid04          |  | 4.0|  | 4.5| 4.0| 4.0| 4.0| 4.5| 4.0| |M4.0V
J01551-162   |               |                |  |-1.0|  |-1.0|-1.0|-1.0|-1.0| 0.0|-1.0| |K7V
J01562+001   |               |                |  | 3.0|  | 3.0| 3.5| 3.0| 3.0| 3.0| 2.5| |M3.0V
J01567+305   |M5.0V          |Abe14           |  | 4.5|  | 4.5| 5.0| 4.5| 4.5| 5.0| 4.5| |M4.5V
J01571-102   |K7V            |PMSU            |  | 0.0|  | 0.0| 0.0| 0.0| 0.0| 0.0| 0.0| |M0.0V
J02000+135AB |m:             |Reid04          |  | 3.5|  | 3.0| 3.5| 3.5| 3.5| 3.5| 3.0| |M3.5V
J02002+130   |M4.5V          |PMSU            |  | 3.5|  | 3.5| 3.0| 3.0| 3.0| 4.5| 4.0| |M3.5:V
J02019+342   |               |                |  | 0.5|  | 0.5| 0.5| 0.5| 0.5| 0.5| 0.5| |M0.5V
J02022+103   |M6.0V          |PMSU            |  | 5.5|  | 5.5| 5.5| 6.0| 5.5| 5.5| 5.5| |M5.5V
J02023+012   |               |                |  | 2.5|  | 2.5| 2.0| 2.0| 2.5| 2.0| 2.5| |M2.5V
J02100-088   |M3.5V          |Giz97           |  | 3.0|  | 3.0| 4.0| 3.5| 3.0| 3.5| 2.5| |M3.0V
J02133+368AB |M4.5V          |Riaz06          |  | 4.5|  | 4.5| 5.0| 4.5| 4.5| 4.5| 4.5| |M4.5V
J02142-039   |M5.5V          |CrRe02          |  | 5.5|  | 5.5| 6.0| 5.5| 5.5| 6.0| 5.5| |M5.5V
J02159-094ABC|M2.5V          |Riaz06          |  | 2.5|  | 2.5| 3.0| 2.5| 2.5| 3.0| 2.0| |M2.5V
J02274+031   |               |                |  | 4.0|  | 4.0| 4.0| 4.0| 3.5| 4.0| 3.5| |M4.0V
J02285-200   |M2.9V          |Mann13          |  | 2.5|  | 2.5| 2.5| 2.5| 2.0| 2.5| 2.5| |M2.5V
J02291+228   |K5.9V          |Mann13          |  |-1.0|  |-1.0|-1.0|-1.0|-1.0|-0.5|-0.5| |K7V
J02362+068   |M4.0V          |PMSU            |  | 3.5|  | 4.0| 3.5| 4.0| 3.5| 4.0| 4.0| |M4.0V
J02367+226   |M5.0V          |Reid04          |  | 5.0|  | 5.0| 5.0| 5.0| 5.0| 5.0| 5.0| |M5.0V
J02412-045   |M4.0V          |CrRe02          |  | 4.5|  | 4.5| 4.5| 4.0| 4.5| 4.5| 4.5| |M4.5V
J02441+492   |M1.5V          |PMSU            |  | 1.5|  | 1.5| 1.5| 1.5| 1.5| 1.5| 1.5| |M1.5V
J02456+449   |M0.0V          |PMSU            |  | 0.5|  | 0.5| 0.0| 0.5| 0.5| 0.5| 1.0| |M0.5V
J02479-124   |M5III          |SB06            |  |    |  |    |    |    |    |    |    | |MIII
J02502+628   |               |                |  | 2.5|  | 2.5| 3.0| 2.5| 3.0| 2.5| 3.0| |M2.5V
J02530+168   |M6.5V          |Tee03           |  | 7.0|  | 6.5| 7.0| 7.0| 7.0| 6.5| 7.0| |M7.0V
J02555+268   |M4.0V          |PMSU            |  | 4.0|  | 4.0| 4.0| 4.0| 4.5| 4.0| 4.0| |M4.0V
J02558+183   |M6III          |,Gar89, SB06    |  |    |  |    |    |    |    |    |    | |MIII
J02562+239   |M4.5V          |Reid07          |  | 5.0|  | 5.0| 5.0| 4.5| 5.0| 5.0| 4.5| |M5.0V
J03026-181   |M2.0V          |PMSU            |  | 2.5|  | 2.0| 2.5| 2.5| 2.5| 2.5| 2.5| |M2.5V
J03033-080   |M3.0V          |Reid07          |  | 2.5|  | 2.5| 3.5| 3.0| 3.0| 3.5| 3.0| |M3.0V
J03047+617   |M3.0V          |PMSU            |  | 2.5|  | 2.5| 3.0| 3.0| 3.0| 3.0| 3.0| |M3.0V
J03110-046   |M2.5V          |Sch05           |  | 2.5|  | 2.5| 3.0| 3.0| 3.0| 3.0| 3.0| |M3.0V
J03147+114   |M1V            |Li00            |  | 2.0|  | 1.5| 2.5| 2.0| 1.5| 2.5| 2.0| |M2.0V
J03154+578   |m:             |Cab09           |  | 3.5|  | 3.5| 3.5| 3.5| 3.0| 3.0| 3.0| |M3.5V
J03162+581S  |M2.0V          |Bid85           |  | 2.0|  | 2.0| 2.0| 2.0| 2.0| 2.0| 2.0| |M2.0V
J03162+581N  |M2.0V          |PMSU            |  | 2.0|  | 2.0| 2.0| 2.0| 2.0| 2.0| 2.0| |M2.0V
J03167+389   |               |                |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 3.5| 3.5| |M3.5V
J03174-011   |k:             |Simbad          |  | 0.5|  | 0.5| 1.0| 1.0| 0.5| 0.5| 0.0| |M0.5V
J03179-010   |m:             |Simbad          |  | 2.0|  | 2.0| 2.0| 2.5| 2.0| 1.5| 1.5| |M2.0V
J03181+426   |M4.0V          |Reid04          |  | 3.5|  | 3.5| 3.5| 3.5| 4.0| 4.0| 3.5| |M3.5V
J03194+619   |M4.1V          |Shk09           |  | 4.0|  | 4.0| 4.5| 4.0| 4.0| 4.5| 4.0| |M4.0V
J03236+476   |               |                |  | 0.5|  | 0.5| 0.5| 0.5| 0.5| 0.5| 1.0| |M0.5V
J03236+056   |               |                |  | 4.5|  | 4.5| 4.5| 4.5| 5.0| 5.0| 4.5| |M4.5V
J03263+171   |               |                |  | 4.0|  | 4.0| 3.5| 4.0| 4.0| 4.0| 4.0| |M4.0V
J03275+222   |M4.0V          |Abe14           |  | 4.5|  | 4.5| 4.5| 4.5| 4.5| 4.5| 4.0| |M4.5V
J03294+117   |               |                |  | 2.5|  | 2.0| 3.0| 3.0| 2.0| 3.0| 2.0| |M2.5V
J03303+346   |               |                |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.5| 3.5| |M4.0V
J03309+706   |m5:            |LG11            |  | 3.5|  | 3.5| 3.5| 3.5| 3.0| 3.5| 3.5| |M3.5V
J03319+492   |m3:            |LG11            |  |    |  |    |    |    |    |    |    | |KIII
J03320+436   |K7.3V          |Mann13          |  |-1.0|  |-1.0|-0.5|-0.5|-0.5|-0.5|-0.5| |K7V
J03325+287ABC|M4.0V          |Riaz06          |  | 4.5|  | 4.5| 4.5| 4.5| 4.5| 4.5| 4.0| |M4.5V
J03332+462   |M0.0V          |Lep13           |  |-1.0|  |-1.0| 0.0| 0.0|-0.5| 0.5|-0.5| |M0.0V
J03354+428   |M0.4V          |Mann13          |  | 0.5|  | 0.5| 0.0| 0.0| 0.5| 0.5| 0.5| |M0.5V
J03356-084   |m:             |Simbad          |  | 5.5|  | 5.5| 5.0| 5.5| 5.0| 5.0| 5.5| |M5.5V
J03361+313   |M4.5V          |Riaz06          |  | 4.5|  | 5.0| 5.0| 4.5| 4.5| 5.0| 4.5| |M4.5V
J03375+288   |               |                |  | 0.0|  | 0.0| 0.0| 0.0| 0.0| 0.0| 0.5| |M0.0V
J03375+178NAB|M2.0V+M3.6     |,PMSU, Shk10    |  | 2.5|  | 2.0| 2.5| 2.0| 2.5| 2.5| 2.5| |M2.5V
J03375+178SAB|M3.0V+M4.3     |,PMSU, Shk10    |  | 3.5|  | 3.5| 3.0| 3.0| 3.0| 4.0| 3.5| |M3.5V
J03392+565AB |m6:            |LG11            |  | 2.5|  | 2.5| 3.0| 3.0| 3.0| 3.0| 3.0| |M2.5V
J03430+459   |m5:            |LG11            |  | 4.0|  | 4.0| 4.0| 4.0| 3.5| 4.0| 4.0| |M4.0V
J03466+243AB |K3V            |Simbad          |<=|-2.0|<=|-2.0|    |    |    |    |    | |K5V
J03473-019   |M2.8V          |Shk09           |  | 3.0|  | 3.0| 3.0| 2.5| 3.0| 2.5| 2.5| |M3.0V
J03480+405   |M2.0V          |New14           |  | 1.5|  | 1.5| 1.5| 1.5| 1.5| 2.0| 1.5| |M1.5V
J03510+142   |               |                |  | 4.5|  | 4.5| 4.5| 4.0| 4.5| 4.5| 4.0| |M4.5V
J03519+397   |M0.0V          |Lep13           |  | 0.0|  | 0.0|-0.5|-0.5| 0.0|-0.5| 0.0| |M0.0V
J03548+163AB |               |                |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.5| 4.0| |M4.0V
J03556+522   |M2.7V          |Mann13          |  | 2.5|  | 2.0| 2.5| 2.5| 2.5| 2.0| 2.5| |M2.5V
J03565+319   |M3.0V          |Reid07          |  | 4.0|  | 3.5| 4.0| 3.5| 3.5| 4.0| 3.5| |M3.5V
J03566+507   |               |                |  |-2.0|  |-2.0|-1.5|-1.5|-1.0|-0.5|-1.0| |K7V
J03574-011AB |M2.0V          |PMSU            |  | 2.5|  | 2.0| 2.5| 2.0| 2.5| 2.5| 2.5| |M2.5V
J03588+125   |               |                |  | 4.0|  | 4.0| 4.0| 4.0| 4.5| 4.5| 4.5| |M4.0V
J04041+307   |M1.5V          |Giz97           |  | 1.5|  | 1.5| 1.5| 2.0| 1.5| 1.5| 2.0| |M1.5V
J04061-055   |M3.5V          |Reid07          |  | 3.5|  | 4.0| 3.5| 3.5| 3.5| 3.5| 3.5| |M3.5V
J04079+142   |               |                |  | 2.5|  | 2.5| 3.0| 3.0| 3.0| 3.0| 3.0| |M2.5V
J04081+743   |M3.5V          |Giz97           |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 3.5| 3.5| |M3.5V
J04083+691   |m4.5:          |Law08           |  | 4.5|  | 4.5| 4.5| 4.5| 4.5| 4.5| 4.5| |M4.5V
J04123+162AB |M1             |BS08            |  | 4.0|  | 3.5| 4.0| 3.5| 4.0| 4.0| 3.5| |M4.0V
J04153-076   |M4.5V          |PMSU            |  | 4.5|  | 4.5| 5.0| 4.5| 4.5| 4.5| 4.0| |M4.5V
J04177+410   |               |                |  | 3.5|  | 3.5| 3.5| 3.0| 3.5| 3.5| 3.0| |M3.5V
J04177+136AB |M1V            |Simbad          |  | 1.5|  | 1.5| 1.5| 1.0| 2.0| 1.5| 2.0| |M1.5V
J04191-074   |M4.0V          |Sch05           |  | 3.5|  | 3.5| 4.0| 4.0| 4.0| 4.0| 3.5| |M3.5V
J04191+097   |               |                |  | 3.5|  | 3.0| 3.0| 3.0| 3.0| 3.0| 3.5| |M3.0V
J04205+815   |               |                |  | 3.0|  | 3.0| 2.5| 2.5| 3.0| 2.5| 3.0| |M3.0V
J04206+272   |M3-4IV         |Sce08           |  | 4.5|  | 4.5| 4.5| 4.5| 5.0| 5.0| 4.0| |M4.5V
J04206-168   |M3III          |,KMc89, Gar89   |  |    |  |    |    |    |    |    |    | |MIII
J04207+152AB |m5:            |LG11            |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.0| 4.0| |M4.0V
J04224+036   |               |                |  | 3.5|  | 3.0| 4.0| 3.5| 3.5| 4.0| 3.0| |M3.5V
J04227+205   |               |                |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.5| 4.0| |M4.0V
J04229+259   |M4.0V          |Reid04          |  | 4.0|  | 4.5| 4.0| 4.0| 4.5| 4.5| 4.5| |M4.5V
J04234+809   |               |                |  | 4.0|  | 4.0| 4.0| 3.5| 4.0| 4.0| 3.5| |M4.0V
J04238+149AB |M3V            |Simbad          |  | 3.5|  | 3.0| 3.5| 3.0| 3.5| 3.5| 3.0| |M3.5V
J04238+092AB |M3V            |Simbad          |  | 3.0|  | 3.0| 3.0| 2.5| 3.5| 3.0| 3.0| |M3.0V
J04247-067ABC|M4.5+M5.5+M5.7 |Shk10           |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.0| 3.5| |M4.0V
J04252+172ABC|M3V+M3+M4:     |Cut00           |  | 3.5|  | 3.5| 4.0| 3.5| 3.5| 4.0| 3.0| |M3.5V
J04290+186   |               |                |  | 2.5|  | 2.5| 2.5| 2.5| 2.5| 3.0| 2.5| |M2.5V
J04308-088   |M4.0V          |Reid04          |  | 4.0|  | 4.5| 4.0| 4.0| 4.0| 4.0| 4.0| |M4.0V
J04310+367   |               |                |  | 3.0|  | 3.0| 3.5| 3.0| 3.0| 3.0| 3.0| |M3.0V
J04313+241AB |M5.5V          |Mar94           |  | 4.5|  | 5.0| 4.5| 4.5| 5.0| 5.0| 4.5| |M4.5:
J04329+001S  |M0.5V          |Reid04          |  | 0.5|  | 0.5| 1.0| 1.0| 0.5| 0.5| 0.0| |M0.5V
J04347-004   |m:             |Simbad          |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.0| 4.0| |M4.0V
J04360+188   |M3.5V          |Simbad          |  | 2.5|  | 2.5| 3.0| 3.0| 2.5| 3.0| 2.5| |M2.5V
J04366+186   |               |                |  | 2.0|  | 2.0| 2.5| 2.0| 2.5| 2.0| 2.0| |M2.0V
J04373+193   |               |                |  | 4.0|  | 4.5| 4.5| 4.0| 4.0| 4.5| 4.0| |M4.0V
J04386-115   |M3.0V          |Sch05           |  | 3.0|  | 3.5| 3.0| 3.5| 3.5| 3.5| 3.0| |M3.5V
J04388+217   |M3.5V          |Reid04          |  | 3.5|  | 3.0| 3.5| 3.5| 3.5| 3.5| 3.5| |M3.5V
J04393+335   |M2.5V          |Simbad          |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.5| 3.5| |M4.0V
J04398+251   |M3.0V          |Reid07          |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 3.5| 3.5| |M3.5V
J04413+327   |               |                |  | 4.0|  | 4.0| 3.5| 3.5| 4.0| 4.0| 4.0| |M4.0V
J04425+204AB |               |                |  | 3.0|  | 3.0| 3.5| 3.0| 3.0| 3.5| 3.0| |M3.0V
J04430+187AB |K8V            |Vys56           |<=|-2.0|<=|-2.0|    |    |    |    |    | |K5V
J04458-144   |M4.0V          |Reid07          |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.0| 4.0| |M4.0V
J04468-112AB |M4.9V          |Shk09           |  | 3.0|  | 3.0| 3.5| 3.5| 3.0| 3.5| 2.5| |M3.0V
J04472+206   |M4.5V          |Reid07          |  | 5.0|  | 5.0| 5.0| 5.0| 5.0| 5.0| 4.5| |M5.0V
J04494+484AB |M4.0V          |Shk09           |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.0| 4.0| |M4.0V
J04496-153   |               |                |  |-2.0|  |-2.0|    |    |    |    |    | |K5V
J04499+711   |               |                |  | 4.0|  | 3.5| 3.5| 3.5| 4.0| 3.5| 4.0| |M3.5V
J04536+623   |               |                |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 3.5| 3.5| |M3.5V
J04538+158   |M2.5V          |Reid07          |  | 2.5|  | 2.5| 2.5| 2.5| 2.5| 2.5| 3.0| |M2.5V
J04544+650   |               |                |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.5| 4.0| |M4.0V
J04559+046   |M3V            |New14           |  | 2.0|  | 2.0| 2.0| 2.0| 2.0| 2.0| 2.0| |M2.0V
J04560+432   |               |                |  | 4.0|  | 4.0| 3.5| 4.0| 4.0| 4.0| 4.0| |M4.0V
J05003+251AB |               |                |  | 1.5|  | 1.5| 1.5| 1.0| 1.0| 1.0| 1.0| |M1.0V
J05019+011   |M4.5V          |Lep13           |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.5| 3.5| |M4.0V
J05030+213AB |m4.5:+m5.0:    |Law08           |  | 5.0|  | 5.0| 5.0| 4.5| 5.0| 5.0| 5.0| |M5.0V
