#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-05-20T14:28:32 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ537b66326c15	
#INFO	-out.max=1000	
#INFO	queryParameters=28	
#-oc.form=dec
#-out.max=1000
#-order=I
#-nav=cat:J/MNRAS/389/585&tab:{J/MNRAS/389/585/table1}&key:source=J/MNRAS/389/585&HTTPPRM:&&-ref=VIZ537b66326c15&-out.max=1000&-out.form=HTML Table&-order=I&-oc.form=sexa&-out.src=J/MNRAS/389/585/table1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=Name&-out=Teff&-out=theta&-out=mBol&-out=Vmag&-out=B-V&-out=U-B&-out=V-Rc&-out=V-Ic&-out=Jmag&-out=Hmag&-out=Ksmag&-out=[M/H]&-out=Simbad&-out=_RA&-out=_DE&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-order=I
#-out.src=J/MNRAS/389/585/table1
#-source=J/MNRAS/389/585/table1
#-order=I
#-out=Name
#-out=Teff
#-out=theta
#-out=mBol
#-out=Vmag
#-out=B-V
#-out=U-B
#-out=V-Rc
#-out=V-Ic
#-out=Jmag
#-out=Hmag
#-out=Ksmag
#-out=[M/H]
#-out=Simbad
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_73890585
#Name: J/MNRAS/389/585
#Title: Fundamental parameters of M dwarfs (Casagrande+, 2008)
#Table	J_MNRAS_389_585_table1:
#Name: J/MNRAS/389/585/table1
#Title: Observable and physical quantities for our sample stars
#Column	Name	(a14)	Star name	[ucd=meta.id;meta.main]
#Column	Teff	(I4)	Effective temperature	[ucd=phys.temperature.effective]
#Column	theta	(F6.3)	Angular diameter	[ucd=phys.angSize]
#Column	mBol	(F6.3)	Apparent bolometric magnitude (1)	[ucd=phot.mag.bol]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	V-Rc	(F6.3)	Johnson-Cousins V-Rc colour index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	V-Ic	(F6.3)	Johnson-Cousins V-Ic colour index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	Jmag	(F6.3)	2MASS Johnson J magnitude	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F6.3)	2MASS Johnson H magnitude	[ucd=phot.mag;em.IR.H]
#Column	Ksmag	(F6.3)	2MASS Johnson Ks magnitude	[ucd=phot.mag;em.IR.K]
#Column	[M/H]	(F5.2)	? Metallicity (2)	[ucd=phys.abund.Z]
#Column	Simbad	(a6)	ask the {\bf\fg{FireBrick}Simbad} data-base about this object	[ucd=]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name;Teff;theta;mBol;Vmag;B-V;U-B;V-Rc;V-Ic;Jmag;Hmag;Ksmag;[M/H];Simbad;_RA;_DE
HIP 18253     ;3726; 0.147;10.651;11.875; 1.461; 1.259; 0.901; 1.808; 8.940; 8.335; 8.143;-0.16;Simbad;058.56667;+08.55867
HIP 19394     ;3247; 0.283; 9.826;11.811; 1.491; 1.095; 1.077; 2.491; 7.948; 7.428; 7.135;-0.08;Simbad;062.31527;-53.37370
HIP 20142     ;4000; 0.213; 9.540;10.498; 1.381; 1.280; 0.848; 1.613; 7.932; 7.322; 7.139;-0.35;Simbad;064.77398;-04.14881
HIP 21556     ;3452; 0.418; 8.715;10.328; 1.508; 1.196; 1.006; 2.191; 6.943; 6.331; 6.091;-0.19;Simbad;069.42444;-11.03887
HIP 22627     ;3088; 0.330; 9.716;12.018; 1.550; 1.223; 1.164; 2.684; 7.814; 7.209; 6.942; 0.02;Simbad;073.02386;+06.47654
HIP 22762     ;3395; 0.342; 9.227;10.894; 1.549; 1.155; 1.018; 2.223; 7.413; 6.860; 6.598;-0.27;Simbad;073.45825;-17.77342
HIP 24392     ;4140; 0.197; 9.560;10.418; 1.313; 1.270; 0.808; 1.495; 7.967; 7.347; 7.180; 0.01;Simbad;078.49656;-21.97356
HIP 24472     ;3557; 0.207;10.113;11.542; 1.531; 1.160; 0.972; 2.035; 8.355; 7.815; 7.518;-0.23;Simbad;078.78351;-07.34680
HIP 29132     ;4249; 0.183; 9.610;10.342; 1.253; 1.179; 0.761; 1.399; 8.078; 7.464; 7.333;-0.67;Simbad;092.16962;+09.47824
HIP 34361     ;3439; 0.304; 9.423;11.081; 1.440; 1.058; 0.989; 2.214; 7.628; 7.027; 6.799;-0.04;Simbad;106.84550;-21.45759
HIP 34712     ;3734; 0.203; 9.941;11.157; 1.478; 1.275; 0.919; 1.849; 8.281; 7.636; 7.406;-0.28;Simbad;107.83218;-67.12276
HIP 37217     ;3236; 0.298; 9.733;11.707; 1.588; 1.223; 1.097; 2.477; 7.848; 7.334; 7.063;-0.31;Simbad;114.67066;-21.22458
HIP 37288     ;3776; 0.402; 8.408; 9.589; 1.466; 1.273; 0.906; 1.812; 6.769; 6.092; 5.872;-0.12;Simbad;114.84599;+02.18366
HIP 40670     ;4053; 0.127;10.597;11.533; 1.348; 1.311; 0.832; 1.584; 8.984; 8.370; 8.227;-0.18;Simbad;124.53813;-48.28099
HIP 42762     ;3302; 0.260; 9.940;11.806; 1.551; 1.170; 1.066; 2.388; 8.122; 7.490; 7.283;-0.20;Simbad;130.71762;+09.55310
HIP 43790     ;3828; 0.323; 8.830; 9.955; 1.414; 1.273; 0.883; 1.751; 7.191; 6.523; 6.352;-0.11;Simbad;133.78176;+01.54651
HIP 44722     ;3801; 0.420; 8.289; 9.478; 1.450; 1.256; 0.914; 1.825; 6.641; 5.982; 5.757;-0.08;Simbad;136.68894;-08.80684
HIP 49544     ;3924; 0.306; 8.837; 9.914; 1.398; 1.284; 0.867; 1.700; 7.189; 6.542; 6.395;-0.06;Simbad;151.73693;+02.96441
HIP 49986     ;3445; 0.685; 7.652; 9.256; 1.501; 1.184; 0.998; 2.171; 5.888; 5.258; 5.015;-0.03;Simbad;153.07362;-03.74566
HIP 50341     ;3314; 0.372; 9.144;10.989; 1.470; 1.087; 1.033; 2.359; 7.323; 6.711; 6.452; 0.05;Simbad;154.19145;-11.96178
HIP 50908     ;4240; 0.143;10.158;10.936; 1.280; 1.232; 0.783; 1.450; 8.607; 7.990; 7.856;-0.35;Simbad;155.93848;-54.22538
HIP 51007     ;3537; 0.413; 8.637;10.133; 1.494; 1.203; 0.977; 2.087; 6.895; 6.264; 6.032;-0.13;Simbad;156.29516;-10.22869
HIP 51317     ;3403; 0.607; 7.968; 9.631; 1.526; 1.192; 1.019; 2.238; 6.176; 5.605; 5.311;-0.20;Simbad;157.23146;+00.84100
HIP 51571     ;3860; 0.211; 9.711;10.800; 1.416; 1.257; 0.874; 1.697; 8.047; 7.438; 7.230;-0.09;Simbad;158.00278;+08.51062
HIP 52296     ;3666; 0.394; 8.585; 9.944; 1.478; 1.186; 0.948; 1.965; 6.905; 6.217; 5.993; 0.11;Simbad;160.28886;-36.89544
HIP 54803     ;3850; 0.278; 9.125;10.295; 1.447; 1.142; 0.903; 1.803; 7.471; 6.818; 6.616; 0.04;Simbad;168.29197;+00.23884
HIP 55625     ;3580; 0.243; 9.739;11.185; 1.493; 1.159; 0.965; 2.048; 7.994; 7.395; 7.161;-0.17;Simbad;170.93573;+08.56349
HIP 56528     ;3472; 0.515; 8.239; 9.813; 1.509; 1.186; 0.992; 2.149; 6.471; 5.856; 5.623;-0.21;Simbad;173.86229;-32.53997
HIP 58688     ;3811; 0.264; 9.280;10.518; 1.441; 1.214; 0.914; 1.871; 7.608; 6.949; 6.783;-0.04;Simbad;180.55479;-38.00802
HIP 60559     ;3382; 0.294; 9.572;11.272; 1.591; 1.091; 1.029; 2.281; 7.734; 7.247; 6.950;-0.58;Simbad;186.21876;-18.24229
HIP 61094     ;3685; 0.418; 8.434; 9.664; 1.474; 1.248; 0.916; 1.842; 6.782; 6.091; 5.892;-0.22;Simbad;187.81585;+08.81060
HIP 61413     ;3454; 0.258; 9.763;11.405; 1.445; 1.034; 0.992; 2.234; 7.995; 7.369; 7.153;-0.19;Simbad;188.75294;+09.82849
HIP 62452     ;3095; 0.431; 9.123;11.405; 1.566; 1.129; 1.166; 2.687; 7.195; 6.666; 6.362;-0.08;Simbad;191.98594;+09.75140
HIP 64180     ;4042; 0.193; 9.714;10.562; 1.293; 1.189; 0.788; 1.471; 8.123; 7.523; 7.346;-0.57;Simbad;197.30736;-68.09260
HIP 70308     ;3816; 0.286; 9.103;10.274; 1.434; 1.285; 0.891; 1.777; 7.421; 6.815; 6.559; 0.08;Simbad;215.77665;-68.38266
HIP 73056     ;3790; 0.185;10.076;11.264; 1.434; 1.278; 0.900; 1.787; 8.412; 7.739; 7.568;     ;Simbad;223.95001;+07.29768
HIP 74190     ;3258; 0.318; 9.559;11.473; 1.513; 1.145; 1.068; 2.421; 7.720; 7.134; 6.858;-0.03;Simbad;227.39830;+03.16682
HIP 77518     ;3781; 0.195; 9.974;11.156; 1.463; 1.184; 0.914; 1.804; 8.299; 7.675; 7.495;-0.37;Simbad;237.40974;-47.60947
HIP 80229     ;3486; 0.202;10.250;11.821; 1.465; 1.121; 0.982; 2.147; 8.480; 7.872; 7.637;-0.15;Simbad;245.67065;-48.65556
HIP 80559     ;3847; 0.244; 9.418;10.603; 1.447; 1.231; 0.907; 1.803; 7.764; 7.083; 6.908; 0.06;Simbad;246.71010;-49.60616
HIP 80612     ;3616; 0.275; 9.421;10.851; 1.490; 1.192; 0.959; 2.009; 7.690; 7.040; 6.834; 0.03;Simbad;246.88844;-10.00790
HIP 82256     ;3470; 0.249; 9.819;11.326; 1.561; 1.190; 0.985; 2.084; 8.040; 7.479; 7.224;-0.43;Simbad;252.10194;-72.97608
HIP 84487     ;3940; 0.241; 9.341;10.333; 1.378; 1.239; 0.854; 1.631; 7.703; 7.137; 6.910;-0.33;Simbad;259.08431;-12.17815
HIP 84521     ;3345; 0.275; 9.764;11.529; 1.558; 1.214; 1.049; 2.310; 7.933; 7.389; 7.106;-0.22;Simbad;259.17075;+08.05839
HIP 85126     ;3525; 0.208;10.138;11.635; 1.502; 1.218; 0.987; 2.103; 8.376; 7.822; 7.519;-0.17;Simbad;260.95511;-32.25452
HIP 86138     ;4210; 0.134;10.320;11.114; 1.275; 1.270; 0.786; 1.481; 8.784; 8.154; 8.009;-0.50;Simbad;264.04733;-29.67942
HIP 86707     ;3611; 0.307; 9.193;10.672; 1.510; 1.218; 0.976; 2.053; 7.441; 6.803; 6.631; 0.04;Simbad;265.75333;+05.78933
HIP 87322     ;3863; 0.291; 9.017;10.154; 1.430; 1.307; 0.898; 1.777; 7.384; 6.704; 6.541;-0.10;Simbad;267.64181;-06.05028
HIP 91430     ;3352; 0.312; 9.481;11.260; 1.569; 1.241; 1.056; 2.313; 7.661; 7.060; 6.849;-0.27;Simbad;279.68644;-14.49056
HIP 91644     ;3866; 0.175;10.120;11.199; 1.421; 1.318; 0.872; 1.711; 8.481; 7.853; 7.624;-0.12;Simbad;280.33213;-60.42985
HIP 92417     ;3684; 0.266; 9.417;10.740; 1.471; 1.203; 0.942; 1.937; 7.724; 7.075; 6.857;-0.08;Simbad;282.50347;+03.08811
HIP 93101     ;3696; 0.525; 7.923; 9.217; 1.456; 1.215; 0.931; 1.907; 6.239; 5.587; 5.357;-0.08;Simbad;284.50057;+05.90812
HIP 93206     ;3366; 0.329; 9.343;11.141; 1.478; 1.094; 1.044; 2.341; 7.520; 6.932; 6.700;-0.11;Simbad;284.78109;-48.27447
HIP 96121     ;3849; 0.258; 9.294;10.410; 1.438; 1.243; 0.894; 1.760; 7.635; 7.045; 6.808;-0.22;Simbad;293.15799;+00.57751
HIP 100356    ;3819; 0.300; 8.997;10.229; 1.460; 1.214; 0.920; 1.845; 7.324; 6.668; 6.463; 0.15;Simbad;305.29548;-51.79106
HIP 101461    ;3857; 0.128;10.811;11.893; 1.389; 1.223; 0.881; 1.707; 9.167; 8.544; 8.352;-0.32;Simbad;308.44000;-46.20528
HIP 101844    ;3826; 0.168;10.251;11.362; 1.437; 1.301; 0.888; 1.761; 8.637; 7.963; 7.748;-0.33;Simbad;309.58098;-55.60548
HIP 103800    ;3302; 0.337; 9.380;11.216; 1.519; 1.141; 1.052; 2.355; 7.563; 6.952; 6.692;-0.06;Simbad;315.49434;-06.31875
HIP 104432    ;3567; 0.281; 9.436;10.858; 1.526; 1.103; 0.962; 2.046; 7.688; 7.121; 6.909;-0.65;Simbad;317.32260;-13.30250
HIP 104644    ;3363; 0.213;10.293;11.995; 1.599; 1.198; 1.040; 2.264; 8.478; 7.919; 7.667;-0.50;Simbad;317.95654;-43.61365
HIP 105932    ;3585; 0.241; 9.752;11.090; 1.534; 1.177; 0.964; 1.967; 8.046; 7.458; 7.166;-0.52;Simbad;321.82023;-06.84428
HIP 106803    ;3655; 0.297; 9.213;10.619; 1.447; 1.192; 0.951; 1.999; 7.509; 6.823; 6.642; 0.07;Simbad;324.48192;-63.71193
HIP 107345    ;3794; 0.159;10.411;11.608; 1.405; 1.150; 0.893; 1.807; 8.751; 8.087; 7.874; 0.06;Simbad;326.12551;-60.97747
HIP 107865    ;3848; 0.165;10.261;11.364; 1.447; 1.217; 0.890; 1.740; 8.605; 7.999; 7.815;-0.37;Simbad;327.80139;-52.26120
HIP 107931    ;3753; 0.157;10.479;11.652; 1.443; 1.295; 0.899; 1.809; 8.831; 8.187; 7.952;-0.36;Simbad;328.00676;+05.54292
HIP 108380    ;3496; 0.286; 9.483;11.031; 1.456; 1.132; 0.975; 2.125; 7.723; 7.117; 6.845; 0.03;Simbad;329.35933;+08.13721
HIP 108523    ;3541; 0.193;10.280;11.784; 1.489; 1.143; 0.976; 2.088; 8.543; 7.889; 7.663;-0.12;Simbad;329.78457;-46.76312
HIP 108594    ;3758; 0.138;10.758;11.969; 1.447; 1.208; 0.904; 1.833; 9.077; 8.463; 8.235;-0.16;Simbad;329.97418;-62.10440
HIP 108782    ;3715; 0.532; 7.875; 9.146; 1.470; 1.222; 0.933; 1.901; 6.196; 5.562; 5.322;-0.18;Simbad;330.54281;+01.40023
HIP 109388    ;3179; 0.583; 8.350;10.371; 1.507; 1.118; 1.085; 2.490; 6.510; 5.899; 5.594; 0.13;Simbad;332.41811;-04.64073
HIP 109638    ;3290; 0.242;10.111;11.982; 1.563; 1.168; 1.069; 2.401; 8.277; 7.681; 7.472;-0.35;Simbad;333.14979;+08.55325
HIP 111313    ;3559; 0.355; 8.941;10.373; 1.532; 1.214; 0.974; 2.044; 7.208; 6.604; 6.356;-0.32;Simbad;338.25927;+09.37797
HIP 112452    ;3622; 0.208;10.025;11.411; 1.488; 1.221; 0.956; 1.999; 8.289; 7.713; 7.450;-0.15;Simbad;341.68804;-63.30147
HIP 112652    ;3786; 0.189;10.034;11.242; 1.443; 1.252; 0.908; 1.815; 8.358; 7.702; 7.549;-0.10;Simbad;342.22714;-54.31432
HIP 113244    ;3627; 0.227; 9.826;11.212; 1.449; 1.135; 0.945; 1.996; 8.130; 7.458; 7.240;-0.10;Simbad;343.98675;+05.75509
HIP 113590    ;3725; 0.217; 9.808;11.072; 1.461; 1.226; 0.926; 1.874; 8.126; 7.479; 7.251;-0.04;Simbad;345.09815;-31.11993
HIP 113602    ;3472; 0.226;10.024;11.557; 1.535; 1.210; 0.992; 2.111; 8.252; 7.671; 7.407;-0.25;Simbad;345.13917;-23.95286
HIP 113605    ;3475; 0.225;10.030;11.573; 1.523; 1.172; 0.991; 2.118; 8.264; 7.657; 7.417;-0.25;Simbad;345.15247;-23.96963
HIP 113850    ;3682; 0.273; 9.360;10.667; 1.460; 1.219; 0.932; 1.914; 7.659; 7.028; 6.809;-0.13;Simbad;345.83690;-49.72612
HIP 114233    ;3625; 0.253; 9.590;10.892; 1.514; 1.189; 0.943; 1.921; 7.865; 7.305; 7.067;-0.59;Simbad;347.02901;+03.32899
HIP 115648    ;3697; 0.208; 9.935;11.258; 1.455; 1.240; 0.934; 1.916; 8.229; 7.591; 7.367; 0.06;Simbad;351.42510;-45.60980
HIP 116317    ;3399; 0.306; 9.460;11.164; 1.483; 1.091; 1.019; 2.275; 7.664; 7.070; 6.828;-0.23;Simbad;353.51388;+00.17941
HIP 116645    ;3330; 0.231;10.160;11.934; 1.552; 1.158; 1.044; 2.311; 8.361; 7.733; 7.494;-0.18;Simbad;354.57258;-41.51770
HIP 117828    ;3340; 0.557; 8.236;10.023; 1.492; 1.114; 1.029; 2.303; 6.450; 5.783; 5.549; 0.14;Simbad;358.45879;-75.63253
HIP 117886    ;3791; 0.227; 9.631;10.809; 1.459; 1.215; 0.913; 1.817; 7.985; 7.328; 7.117;-0.23;Simbad;358.69293;-21.77451
HIP 118200    ;3246; 0.293; 9.754;11.739; 1.519; 1.124; 1.085; 2.462; 7.907; 7.290; 7.063; 0.07;Simbad;359.63603;+07.65865
HIP 10072     ;3349; 0.254; 9.930;11.740; 1.500;      ; 1.050; 2.340; 8.122; 7.498; 7.259; 0.02;Simbad;032.40056;-14.35908
HIP 56284     ;3583; 0.213;10.021;11.450; 1.500;      ; 0.970; 2.030; 8.278; 7.678; 7.470;-0.28;Simbad;173.07916;-16.96871
HIP 50696     ;3780; 0.197; 9.952;11.250; 1.460;      ; 0.930; 1.890; 8.259; 7.590; 7.399; 0.15;Simbad;155.28366;-17.72725
HIP 23512     ;3160; 0.320; 9.680;11.730; 1.640;      ; 1.120; 2.540; 7.819; 7.242; 6.936;-0.28;Simbad;075.83369;-17.37354
HIP 85026     ;3843; 0.197; 9.878;10.920; 1.390;      ; 0.880; 1.670; 8.245; 7.633; 7.435;-0.51;Simbad;260.67907;-14.96035
HIP 59406     ;3226; 0.297; 9.755;11.690; 1.560;      ; 1.080; 2.450; 7.895; 7.359; 7.044;-0.19;Simbad;182.79899;-19.96057
HIP 78734     ;3898; 0.284; 9.024;10.070; 1.360;      ; 0.850; 1.660; 7.382; 6.748; 6.557;-0.11;Simbad;241.09650;-33.06103
HIP 9603      ;3724; 0.210; 9.880;11.110; 1.460;      ; 0.910; 1.830; 8.203; 7.542; 7.360;-0.13;Simbad;030.87599;-04.91149
HIP 18280     ;3992; 0.424; 8.054; 9.030; 1.370;      ; 0.860; 1.620; 6.453; 5.806; 5.629;-0.19;Simbad;058.64778;-06.82601
HIP 27803     ;3976; 0.312; 8.740; 9.700; 1.350;      ; 0.840; 1.600; 7.128; 6.517; 6.305;-0.26;Simbad;088.25119;-05.99484
HIP 47103     ;3319; 0.372; 9.138;10.900; 1.550;      ; 1.040; 2.330; 7.337; 6.740; 6.475;-0.39;Simbad;144.00682;-21.66080
HIP 63157     ;4240; 0.212; 9.301;10.050; 1.250;      ; 0.770; 1.400; 7.753; 7.139; 7.008;-0.47;Simbad;194.12533;-24.92548
LP 834-32     ;3108; 0.267;10.143;12.380; 1.500;      ; 1.140; 2.640; 8.240; 7.646; 7.406;-0.10;Simbad;068.90079;-25.45969
LP 776-25     ;3212; 0.322; 9.595;11.610; 1.520;      ; 1.100; 2.510; 7.740; 7.146; 6.891;-0.20;Simbad;073.10170;-16.82277
LP 852-59     ;4035; 0.168;10.022;10.970; 1.360;      ; 0.840; 1.650; 8.466; 7.818; 7.655;-0.82;Simbad;184.20251;-22.48630
LP 670-17     ;3226; 0.251;10.122;12.110; 1.550;      ; 1.090; 2.480; 8.276; 7.678; 7.393;     ;Simbad;158.75467;-09.41078
LP 859-11     ;3433; 0.207;10.265;11.900; 1.510;      ; 1.010; 2.210; 8.490; 7.877; 7.634;-0.10;Simbad;227.09762;-23.86028
LP 941-142    ;3315; 0.262; 9.909;11.730; 1.590;      ; 1.060; 2.390; 8.060; 7.540; 7.305;-0.80;Simbad;039.96133;-34.13264
NLTT 9477     ;3734; 0.226; 9.708;10.970; 1.460;      ; 0.920; 1.880; 8.021; 7.389; 7.171;-0.10;Simbad;044.58367;-00.99268
LP 665-49     ;4034; 0.144;10.357;11.340; 1.320;      ; 0.840; 1.630; 8.758; 8.085; 7.931; 0.02;Simbad;127.74446;-05.17839
LP 788-49     ;3356; 0.232;10.118;11.840; 1.450;      ; 1.010; 2.290; 8.301; 7.736; 7.492;-0.50;Simbad;147.84729;-17.74011
